ID,age,income
1,48,85300
2,61,41800
3,45,61500
4,24,18100
5,55,10747
6,46,90900
7,,99000
8,28,42100
9,,30100
10,111,55000
11,50,88500
12,21,55444.248649187655
13,50,81600
14,19,24400
15,50,
16,205,86300
17,60,48900
18,30,93600
19,38,64700
20,108,62400
21,34,38300
22,32,34100
23,38,50400
24,63,
25,,35200
26,,
27,65,84058
28,63,258215003
29,38,59100
30,55,34291
31,23,20200
32,48,58200
33,18,20000
34,20,17100
35,48,79700
36,39,43100
37,,28000
38,32,
39,,185945034
40,33,30500
41,32,41900
42,100,32700
43,58,61357
44,,41800
45,30,38900
46,,
47,180,99200
48,52,81400
49,28,
50,46,67600
51,219,102500.0
52,39,55000
53,50,97096
54,,
55,,48100
56,63,142655687
57,33,36600
58,,43700
59,56,83800
60,22,
61,44,73900
62,,26500
63,93.80112237475956,129238901
64,48,96900
65,43,60000
66,20,22600
67,22,30900
68,60,51100
69,19,21800
70,51,78300
71,,130512175
72,38,68700
73,53,83800
74,,91700
75,,59800
76,61,57800
77,25,44500
78,,29700
79,27,40800
80,,
81,18,58000
82,36,66900
83,16,10100
84,35,60900
85,26,31100
86,32,50000
87,30,195488545
88,27,39300
89,20,26900
90,82.7741786449242,24200
91,29,98000
92,34,26800
93,31,121901366
94,,85100
95,16,23600
96,80.75261912988634,22500
97,43,56000
98,171,65700
99,61,59000
100,123,37600
101,,
102,29,
103,139,27800
104,,
105,62,51600
106,52,84200
107,36,208362092
108,18,127921036
109,277,100000.0
110,20,33400
111,48,66000
112,59,248256396
113,26,41100
114,68,
115,59,49200
116,31,25800
117,47,67900
118,63,56900
119,51,75000
120,51,88900
121,26,
122,38,66100
123,53,91200
124,42,52600
125,43,60200
126,264,55500
127,17,22000
128,39,61700
129,47,86600
130,65,67600
131,37,59100
132,31,124997046
133,41,56700
134,,39100
135,60,58600
136,63,
137,42,25686
138,44,06558
139,,62900
140,25,15400
141,34,41800
142,121,236766284
143,41,59300
144,,175443026
145,173.982384513737,
146,66,
147,37,57500
148,,39000
149,,25100
150,32,44300
151,61,51900
152,39,31500
153,27,87700
154,40,63500
155,58,
156,61,
157,50,252975204
158,39,42300
159,,72400
160,34,32400
161,57,90000
162,38,57600
163,23,130723342
164,17,404
165,113,
166,32,
167,61,55100
168,68,56000
169,39,62900
170,20,899
171,28,42600
172,21,
173,60,52800
174,23,19500
175,32,50000
176,61,39200
177,45,65100
178,17,27500
179,59,56000
180,40,
181,47,
182,24,19100
183,,42800
184,62,56000
185,27,50000
186,205,51500
187,,51500
188,38,69900
189,122,35100
190,23,23800
191,27,32900
192,,60900
193,56,90600
194,183,69500
195,,57200
196,20,31200
197,,52400
198,60,
199,24,24000
200,55,76400
201,,26900
202,20,65500
203,22,17800
204,47,75600
205,189,248883457
206,48,77500
207,58,55500
208,42,287482917
209,37,31600
210,38,61100
211,47,64300
212,65,319827147
213,,24200
214,25,
215,,61200
216,,36700
217,,21000
218,65,60900
219,41,56000
220,14,13500
221,43,64700
222,65,40700
223,43,85100
224,,56900
225,16,18900
226,69,
227,27,33600
228,36,41400
229,58,78500
230,45,78100
231,23,20600
232,63,59000
233,58,51100
234,60,56400
235,47,85600
236,16,32113.30688222977
237,26,137175.395405275
238,32,36100
239,65,52000
240,49,92100
241,60,
242,48,85700
243,43,62500
244,21,17200
245,,238494452
246,35,53700
247,50,76500
248,44,46975
249,366,53100
250,144,14800
251,33,44500
252,24,32000
253,,65900
254,21,20900
255,44,67600
256,28,
257,81.17618007007775,21600
258,32,40100
259,21,
260,25,
261,32,44800
262,19,127102004
263,308,47200
264,16,31400
265,33,41100
266,39,52300
267,61,
268,,19126
269,,
270,,62600
271,26,20800
272,85.23046990009264,10500
273,41,60900
274,47,71900
275,331,177352553
276,50,91500
277,,59700
278,23,100565633
279,23,48226
280,47,
281,63,61000
282,21,24100
283,40,214428366
284,,
285,52,69700
286,62,51400
287,41,64800
288,,
289,177,196695774
290,34,38500
291,26,
292,238,81800
293,,57600
294,61,56300
295,28,20700
296,50,94500
297,96.65958891088611,195714474
298,,47343
299,64,54100
300,36,222219456
