step,n_clusters,merge_distance,sse_total,sse_ratio
1,299,0.0,0.0,0.0
2,298,0.0,2.7755575615628914e-17,4.625929269271486e-20
3,297,0.0,2.7755575615628914e-17,4.625929269271486e-20
4,296,6.463651835986184e-11,0.0,0.0
5,295,6.463651835986184e-11,-2.7755575615628914e-17,-4.625929269271486e-20
6,294,6.463651835986184e-11,-2.7755575615628914e-17,-4.625929269271486e-20
7,293,6.463651835986184e-11,-2.7755575615628914e-17,-4.625929269271486e-20
8,292,1.2927303671972368e-10,-2.7755575615628914e-17,-4.625929269271486e-20
9,291,1.2927303671972368e-10,-2.7755575615628914e-17,-4.625929269271486e-20
10,290,1.2927303671972368e-10,-2.7755575615628914e-17,-4.625929269271486e-20
11,289,1.2927303671972368e-10,-2.7755575615628914e-17,-4.625929269271486e-20
12,288,1.2927303671972368e-10,-2.7755575615628914e-17,-4.625929269271486e-20
13,287,1.9390955507958552e-10,-2.7755575615628914e-17,-4.625929269271486e-20
14,286,1.9390955507958552e-10,-2.7755575615628914e-17,-4.625929269271486e-20
15,285,1.9390955507958552e-10,-5.551115123125783e-17,-9.251858538542972e-20
16,284,1.9390955507958552e-10,-5.551115123125783e-17,-9.251858538542972e-20
17,283,1.9390955507958552e-10,-1.3877787807814457e-16,-2.312964634635743e-19
18,282,1.9390955507958552e-10,-1.1102230246251565e-16,-1.8503717077085944e-19
19,281,2.5854607343944735e-10,-1.3877787807814457e-16,-2.312964634635743e-19
20,280,2.5854607343944735e-10,-1.3877787807814457e-16,-2.312964634635743e-19
21,279,2.5854607343944735e-10,-1.6653345369377348e-16,-2.7755575615628914e-19
22,278,2.8619895342529844e-10,-1.3877787807814457e-16,-2.312964634635743e-19
23,277,3.231825917993092e-10,-1.6653345369377348e-16,-2.7755575615628914e-19
24,276,3.231825917993092e-10,-1.3877787807814457e-16,-2.312964634635743e-19
25,275,3.231825917993092e-10,-1.942890293094024e-16,-3.23815048849004e-19
26,274,4.5245562851903287e-10,-2.220446049250313e-16,-3.7007434154171887e-19
27,273,4.5245562851903287e-10,-2.7755575615628914e-16,-4.625929269271486e-19
28,272,5.170921468788947e-10,-2.7755575615628914e-16,-4.625929269271486e-19
29,271,5.170921468788947e-10,-2.498001805406602e-16,-4.163336342344337e-19
30,270,5.170921468788947e-10,-2.220446049250313e-16,-3.7007434154171887e-19
31,269,7.756382203183421e-10,-2.220446049250313e-16,-3.7007434154171887e-19
32,268,9.695477753979276e-10,-1.1102230246251565e-16,-1.8503717077085944e-19
33,267,1.1499203811382586e-09,-1.3877787807814457e-16,-2.312964634635743e-19
