step,n_clusters,merge_distance,sse_total,sse_ratio
1,265,0.0,0.0,0.0
2,264,0.0,0.0,0.0
3,263,0.0,0.0,0.0
4,262,0.0,0.0,0.0
5,261,0.0,4.440892098500626e-16,8.347541538535011e-19
6,260,0.0,6.661338147750939e-16,1.2521312307802517e-18
7,259,0.0,6.661338147750939e-16,1.2521312307802517e-18
8,258,0.0,6.661338147750939e-16,1.2521312307802517e-18
9,257,0.0,6.938893903907228e-16,1.3043033653960955e-18
10,256,0.0,6.938893903907228e-16,1.3043033653960955e-18
11,255,0.0,6.938893903907228e-16,1.3043033653960955e-18
12,254,0.0,6.938893903907228e-16,1.3043033653960955e-18
13,253,0.0,6.938893903907228e-16,1.3043033653960955e-18
14,252,0.0,4.718447854656915e-16,8.86926288469345e-19
15,251,0.0,2.7755575615628914e-17,5.217213461584382e-20
16,250,0.0,2.7755575615628914e-17,5.217213461584382e-20
17,249,0.0,2.498001805406602e-16,4.695492115425944e-19
18,248,0.0,4.718447854656915e-16,8.86926288469345e-19
19,247,0.0,4.718447854656915e-16,8.86926288469345e-19
20,246,0.0,4.718447854656915e-16,8.86926288469345e-19
21,245,0.0,4.718447854656915e-16,8.86926288469345e-19
22,244,0.0,4.718447854656915e-16,8.86926288469345e-19
23,243,0.0,-3.0808688933348094e-15,-5.791106942358664e-18
24,242,0.0,-3.969047313034935e-15,-7.460615250065667e-18
25,241,0.0,-3.969047313034935e-15,-7.460615250065667e-18
26,240,0.0,-5.745404152435185e-15,-1.0799631865479672e-17
27,239,0.0013731998762229747,9.428389442789342e-07,1.7722536546596507e-09
28,238,0.002746399752446012,4.714194744376288e-06,8.86126831649678e-09
29,237,0.0027463997524460326,9.742669144469085e-06,1.8313287865543392e-08
30,236,0.004119599628669035,1.8228219694715886e-05,3.426357085472911e-08
31,235,0.004119599628669035,2.6713770244990442e-05,5.0213853843967e-08
32,234,0.004119599628669035,3.519932079543153e-05,6.616413683351791e-08
33,233,0.0054927995048920375,5.028474399593197e-05,9.452019548107512e-08
34,232,0.005492799504892065,6.53701671963769e-05,1.22876254128528e-07
35,231,0.00686599938111504,9.679813219726219e-05,1.8195137631064322e-07
36,230,0.008239199257338015,0.00014205440179854145,2.6701955225289744e-07
37,229,0.01098559900978402,0.00020239609460043217,3.8044378684291764e-07
38,228,0.01098559900978402,0.0002627377874022119,4.938680214327291e-07
39,227,0.010985599009784047,0.00032307948020407484,6.072922560226971e-07
40,226,0.010985599009784075,0.00038342117300596557,7.207164906127172e-07
41,225,0.013731998762229969,0.0004777050680088435,8.979418571594802e-07
42,224,0.013731998762230066,0.0005719889630118047,1.0751672237063997e-06
43,223,0.01373199876223008,0.0006662728580147659,1.2523925902533193e-06
44,222,0.01481857919479923,0.000776068002691227,1.4587744411489228e-06
45,221,0.015105198638453055,0.0008901515156448381,1.6732171346707483e-06
46,220,0.016191779071022275,0.001000889499271157,1.8813712392314982e-06
47,219,0.01619177907102229,0.0011116274828974482,2.089525343792196e-06
48,218,0.016191779071022316,0.0012223654665234895,2.2976794483524238e-06
49,217,0.01647839851467603,0.0014033905449294948,2.6379521521231104e-06
50,216,0.016478398514676112,0.0015391593537337767,2.893156679950708e-06
51,215,0.01733611230120819,0.0018057476415269669,3.394262484073246e-06
52,214,0.01756497894724536,0.001957169642162193,3.6788903048161527e-06
53,213,0.01893817882346832,0.0020754503373887068,3.901222438700577e-06
54,212,0.01922479826712209,0.0022602467715944763,4.2485841571324746e-06
55,211,0.019624778761579822,0.002422040000680026,4.552706768195537e-06
56,210,0.01962477876157992,0.002583833229765631,4.856829379258705e-06
57,209,0.020148283576018944,0.0027263360667522107,5.124691854797389e-06
58,208,0.020311378699691303,0.0028512166346289503,5.359429764340132e-06
